,ts,m,m_theoretical,E,C,c_theoretical,kappa,kappa_theoretical,E_square,M_square
0,1.4000000000000001,-0.009600000000000053,0.9913868650730684,-3.9644,0.04007637932856991,0.47453034694645585,0.35358445874000016,0.060349444474671846,15.813687000000007,0.4951000000000003
1,1.41,-0.007200000000000095,0.9909727261577601,-3.9736,0.03938852700769356,0.48025253208998586,0.3510282666212768,0.061584002976328205,15.814476999999995,0.4950310000000002
2,1.42,-0.012399999999999967,0.9905432300802793,-3.9588,0.040796574328503366,0.4860417083607708,0.35551979775774645,0.06285871721151204,15.80521599999999,0.5049269999999999
3,1.43,-0.012399999999999967,0.9900979425696103,-3.9568,0.041673277854176585,0.49189946292402403,0.34957481711258753,0.06417538955664606,15.798149,0.49998750000000014
4,1.44,-0.011800000000000033,0.9896364172824119,-3.9592,0.043498868641982776,0.49782744002691587,0.3471395158048614,0.06553592610070658,15.785488,0.4999895000000004
5,1.45,-0.011600000000000055,0.9891581952261317,-3.9572,0.044407748442331335,0.5038273437690692,0.34475854090758623,0.06694234395797008,15.777580999999998,0.500017
6,1.46,-0.011600000000000055,0.9886628041459127,-3.9556,0.04620484473446617,0.5099009410432059,0.33559663396986295,0.06839677919356207,15.765504999999996,0.4901009999999999
7,1.47,-0.012199999999999989,0.9881497578727816,-3.9536,0.04688946787725957,0.5160500646586405,0.3399955002931976,0.0699014954215077,15.757652999999996,0.4999335000000004
8,1.48,-0.0132000000000001,0.9876185556303795,-3.9504,0.048324284762603406,0.5222766166614338,0.3344583082135134,0.07145889314163571,15.746166000000008,0.4951529999999999
9,1.49,-0.0132000000000001,0.9870686812972582,-3.9524,0.050126014199357596,0.5285825718662586,0.3320877577013422,0.07307151988917238,15.732544999999993,0.4949824999999998
10,1.5,-0.0129999999999999,0.9864996026214945,-3.9548,0.05090844953599887,0.5349699816163829,0.3298456344639999,0.07474208127930212,15.72406000000001,0.4949519999999999
11,1.51,-0.0129999999999999,0.9859107703840778,-3.9524,0.05189835821937127,0.5414409777896849,0.33426357621125835,0.07647345303850028,15.713977,0.5049365
12,1.52,-0.0132000000000001,0.9853016175072037,-3.9516,0.05411006771294846,0.5479977770702752,0.32888105707302606,0.07826869412521902,15.697241999999992,0.5001224999999996
13,1.53,-0.016599999999999948,0.9846715581032407,-3.94,0.05474728475202188,0.5546426855071414,0.3266461883372549,0.08013106105470989,15.688673999999999,0.500007
14,1.54,-0.014999999999999902,0.9840199864597419,-3.9448,0.05485405867937973,0.5613781033832744,0.3309732643090912,0.08206402355661074,15.683602999999996,0.5099440000000004
15,1.55,-0.01540000000000008,0.9833462759554279,-3.9456,0.05753363519500104,0.5682065304210043,0.3255763618006451,0.08407128170965365,15.662123999999997,0.5049254999999999
16,1.56,-0.015800000000000036,0.9826497779015771,-3.9444,0.05879988019559475,0.5751305713517925,0.3234215608198719,0.08615678471575446,15.64963199999999,0.5048435000000001
17,1.57,-0.014999999999999902,0.9819298203027144,-3.9448,0.05955183717635236,0.5821529418815362,0.31832094758662416,0.08832475149615741,15.639766999999996,0.5000884999999999
18,1.58,-0.022599999999999953,0.9811857065298788,-3.9216,0.06307542283448421,0.5892764750855779,0.3131887670253163,0.09057969331562446,15.612533999999991,0.49521499999999974
19,1.59,-0.018799999999999928,0.980416713899078,-3.9352,0.06241237253431317,0.5965041282711024,0.3080782182333333,0.0929264386673412,15.611442,0.4902245
20,1.6,-0.020000000000000018,0.979622092146775,-3.9312,0.06375837499999827,0.6038389903485253,0.3152864049374999,0.09537016068180103,15.595548,0.5048739999999998
