,ts,m,m_theoretical,E,C,c_theoretical,kappa,kappa_theoretical,E_square,M_square
0,1.4000000000000001,0.9813485148514853,0.9913868650730684,-1.9477108910891088,0.0586828185391996,0.47453034694645585,1.932435878555294,0.060349444474671846,3.908596039603961,0.9900990099009901
1,1.41,0.9810633663366333,0.9909727261577601,-1.9468554455445537,0.058735323140534264,0.48025253208998586,1.9584171016470244,0.061584002976328205,3.907017821782179,0.9900990099009901
2,1.42,0.9805188118811876,0.9905432300802793,-1.9450891089108908,0.059798092267269135,0.4860417083607708,2.0198499611333984,0.06285871721151204,3.9039485148514848,0.9900990099009901
3,1.43,0.9803940594059405,0.9900979425696103,-1.944356435643565,0.05993216240120578,0.49189946292402403,2.022832040736458,0.06417538955664606,3.903077227722774,0.9900990099009901
4,1.44,0.980160396039604,0.9896364172824119,-1.9436000000000002,0.05987159195086248,0.49782744002691587,2.040597773366436,0.06553592610070658,3.901730693069309,0.9900990099009901
5,1.45,0.9793663366336632,0.9891581952261317,-1.9409544554455442,0.06178818704981153,0.5038273437690692,2.1338336944654035,0.06694234395797008,3.897213861386138,0.9900990099009901
6,1.46,0.9784336633663367,0.9886628041459127,-1.9377702970297033,0.06426388150253463,0.5099009410432059,2.2442860474328845,0.06839677919356207,3.891938613861387,0.9900990099009901
7,1.47,0.9783207920792081,0.9881497578727816,-1.9373821782178224,0.0637448910768324,0.5160500646586405,2.244043380034084,0.0699014954215077,3.8911960396039613,0.9900990099009901
8,1.48,0.9778891089108915,0.9876185556303795,-1.9357227722772286,0.06462182519953592,0.5222766166614338,2.2859392280035555,0.07145889314163571,3.8885702970297027,0.9900990099009901
9,1.49,0.9772950495049508,0.9870686812972582,-1.9335722772277226,0.06601844766771447,0.5285825718662586,2.348550074772201,0.07307151988917238,3.885269306930694,0.9900990099009901
10,1.5,0.9766059405940591,0.9864996026214945,-1.9313980198019804,0.06711318195645255,0.5349699816163829,2.422656446492207,0.07474208127930212,3.8813029702970296,0.9900990099009901
11,1.51,0.9761801980198019,0.9859107703840778,-1.9296673267326736,0.06805843942999797,0.5414409777896849,2.461670920199364,0.07647345303850028,3.8787960396039614,0.9900990099009901
12,1.52,0.9758990099009902,0.9853016175072037,-1.9289821782178218,0.06762278259613423,0.5479977770702752,2.481587656266912,0.07826869412521902,3.877207920792081,0.9900990099009901
13,1.53,0.9754019801980198,0.9846715581032407,-1.9272673267326728,0.0683882935021541,0.5546426855071414,2.5287573154752834,0.08013106105470989,3.8744495049504954,0.9900990099009901
14,1.54,0.9742613861386143,0.9840199864597419,-1.923651485148516,0.07069656501387123,0.5613781033832744,2.6567377519646707,0.08206402355661074,3.8680990099009884,0.9900990099009901
15,1.55,0.9735267326732677,0.9833462759554279,-1.921441584158416,0.07166085700887691,0.5682065304210043,2.73191681751626,0.08407128170965365,3.86410297029703,0.9900990099009901
16,1.56,0.9728693069306931,0.9826497779015771,-1.9188950495049504,0.07309474570340668,0.5751305713517925,2.7964308675117286,0.08615678471575446,3.8600415841584166,0.9900990099009901
17,1.57,0.9719465346534655,0.9819298203027144,-1.9157227722772276,0.07501933979858871,0.5821529418815362,2.8929263487968075,0.08832475149615741,3.854908910891088,0.9900990099009901
18,1.58,0.9712534653465346,0.9811857065298788,-1.9137108910891085,0.0756819450028632,0.5892764750855779,2.9598554400846906,0.09057969331562446,3.8512217821782175,0.9900990099009901
19,1.59,0.9708613861386141,0.980416713899078,-1.912376237623762,0.07586619350175451,0.5965041282711024,2.98913074251566,0.0929264386673412,3.8489801980198015,0.9900990099009901
20,1.6,0.9694019801980202,0.979622092146775,-1.9076435643564345,0.07879524740221666,0.6038389903485253,3.1474256680717114,0.09537016068180103,3.8408198019801967,0.9900990099009901
21,1.61,0.9693980198019805,0.9788010617934133,-1.9071366336633657,0.07838751451747573,0.6112842897578581,3.128353360558335,0.09791640735807029,3.8403584158415836,0.9900990099009901
22,1.62,0.9682554455445542,0.9779528123850371,-1.9034534653465356,0.08039916122756173,0.6188434030009552,3.2457038317473406,0.10057113495628366,3.834134653465348,0.9900990099009901
23,1.6300000000000001,0.9672376237623761,0.977076500601997,-1.9002653465346535,0.08186475375237348,0.626519863836086,3.34664963677928,0.10334074493687397,3.828514851485148,0.9900990099009901
24,1.6400000000000001,0.9668891089108912,0.9761712482225482,-1.8995564356435646,0.08123707941523459,0.6343173731974996,3.367345181127611,0.10623212488596338,3.826809900990099,0.9900990099009901
25,1.6500000000000001,0.9654534653465349,0.9752361399277905,-1.8948356435643565,0.08392616087675392,0.6422398099096814,3.5150676455368037,0.10925269392880972,3.8188910891089116,0.9900990099009901
26,1.6600000000000001,0.9649306930693069,0.9742702209328977,-1.8933108910891083,0.08394916001122417,0.6502912422739494,3.5546847875769347,0.11241045320572628,3.815956435643563,0.9900990099009901
27,1.67,0.9638415841584156,0.9732724944278598,-1.8894455445544556,0.0859139571707187,0.658475940614029,3.659186260358443,0.11571404206928947,3.8096099009901003,0.9900990099009901
28,1.68,0.9625603960396045,0.9722419188090291,-1.88609900990099,0.08717488876084978,0.6667983908774597,3.784315111730343,0.11917280076010044,3.8034118811881172,0.9900990099009901
29,1.69,0.9612891089108909,0.9711774046805615,-1.881556435643565,0.0895920987884418,0.6752633094012898,3.9066425438044585,0.12279684043349286,3.7961386138613857,0.9900990099009901
30,1.7,0.9605188118811877,0.9700778116023373,-1.8799762376237628,0.08925767906735443,0.6838756589637424,3.9707424660789217,0.12659712154455802,3.792265346534653,0.9900990099009901
