,ts,m,m_theoretical,E,C,c_theoretical,kappa,kappa_theoretical,E_square,M_square
0,1.4000000000000001,0.981306930693069,0.9913868650730684,-1.9467168316831684,0.06042155638202713,0.47453034694645585,1.9382655481956022,0.060349444474671846,3.908132673267327,0.9900990099009901
1,1.41,0.9813742574257418,0.9909727261577601,-1.9470930693069308,0.05907270300440349,0.48025253208998586,1.9151472881605656,0.061584002976328205,3.908613861386139,0.9900990099009901
2,1.42,0.9806475247524744,0.9905432300802793,-1.9443405940594052,0.0614059027045772,0.4860417083607708,2.00207338717149,0.06285871721151204,3.90427920792079,0.9900990099009901
3,1.43,0.9800950495049507,0.9900979425696103,-1.942443564356436,0.06267131089378483,0.49189946292402403,2.0638254431383363,0.06417538955664606,3.9012435643564363,0.9900990099009901
4,1.44,0.9797465346534657,0.9896364172824119,-1.9415762376237617,0.06256996519646517,0.49782744002691587,2.096926231633008,0.06553592610070658,3.8994633663366325,0.9900990099009901
5,1.45,0.978918811881188,0.9891581952261317,-1.9380871287128705,0.06570606154044638,0.5038273437690692,2.194273768697473,0.06694234395797008,3.894328712871287,0.9900990099009901
6,1.46,0.9784316831683166,0.9886628041459127,-1.9364514851485137,0.06649734691124862,0.5099009410432059,2.2445514570825305,0.06839677919356207,3.891590099009902,0.9900990099009901
7,1.47,0.9789148514851481,0.9881497578727816,-1.9381663366336632,0.06376714325367985,0.5160500646586405,2.1649471729796272,0.0699014954215077,3.8942831683168313,0.9900990099009901
8,1.48,0.9767980198019794,0.9876185556303795,-1.930839603960396,0.07041844521179794,0.5222766166614338,2.4300431359406676,0.07145889314163571,3.8823861386138607,0.9900990099009901
9,1.49,0.9763861386138611,0.9870686812972582,-1.929334653465347,0.07102814157739255,0.5285825718662586,2.467726055282147,0.07307151988917238,3.88002178217822,0.9900990099009901
10,1.5,0.9760712871287129,0.9864996026214945,-1.9283247524752485,0.07104831044276416,0.5349699816163829,2.49225682292585,0.07474208127930212,3.8782950495049477,0.9900990099009901
11,1.51,0.9761227722772275,0.9859107703840778,-1.9282019801980195,0.07032325523157101,0.5414409777896849,2.4690955856165506,0.07647345303850028,3.8783069306930686,0.9900990099009901
12,1.52,0.9744990099009901,0.9853016175072037,-1.9223683168316823,0.07515695494249977,0.5479977770702752,2.6612295791434235,0.07826869412521902,3.8691425742574266,0.9900990099009901
13,1.53,0.9744772277227725,0.9846715581032407,-1.922780198019802,0.073633130527338,0.5546426855071414,2.6466106242307186,0.08013106105470989,3.869451485148515,0.9900990099009901
14,1.54,0.973982178217822,0.9840199864597419,-1.920978217821783,0.0742954639474672,0.5613781033832744,2.6920601568218805,0.08206402355661074,3.8663564356435662,0.9900990099009901
15,1.55,0.9725168316831683,0.9833462759554279,-1.9157584158415846,0.07832039194051721,0.5682065304210043,2.8587110963820774,0.08407128170965365,3.8582950495049504,0.9900990099009901
16,1.56,0.9726039603960391,0.9826497779015771,-1.9158613861386133,0.07709960739175538,0.5751305713517925,2.8295221873673113,0.08615678471575446,3.8581544554455447,0.9900990099009901
17,1.57,0.9712019801980198,0.9819298203027144,-1.911437623762376,0.07992060914257898,0.5821529418815362,2.9850779337856794,0.08832475149615741,3.8505900990099016,0.9900990099009901
18,1.58,0.9713524752475254,0.9811857065298788,-1.911477227722772,0.07896493960262657,0.5892764750855779,2.947682198195923,0.09057969331562446,3.8508732673267314,0.9900990099009901
19,1.59,0.9696653465346531,0.980416713899078,-1.9066059405940592,0.08209598378164418,0.5965041282711024,3.1351022409321505,0.0929264386673412,3.842693069306932,0.9900990099009901
20,1.6,0.9698079207920791,0.979622092146775,-1.9061306930693065,0.08168797909518816,0.6038389903485253,3.0982254168709087,0.09537016068180103,3.8424554455445565,0.9900990099009901
21,1.61,0.9681227722772279,0.9788010617934133,-1.899845544554456,0.08603856726319199,0.6112842897578581,3.281820353990365,0.09791640735807029,3.8324336633663374,0.9900990099009901
22,1.62,0.9660396039603962,0.9779528123850371,-1.8934851485148514,0.08986236260970094,0.6188434030009552,3.5102773753722776,0.10057113495628366,3.821120792079208,0.9900990099009901
23,1.6300000000000001,0.9673168316831683,0.977076500601997,-1.8977069306930698,0.0855927492553424,0.626519863836086,3.3372488983697655,0.10334074493687397,3.828702970297031,0.9900990099009901
24,1.6400000000000001,0.9647861386138611,0.9761712482225482,-1.8896158415841575,0.09086687075796854,0.6343173731974996,3.615043697533271,0.10623212488596338,3.815043564356436,0.9900990099009901
25,1.6500000000000001,0.9646732673267326,0.9752361399277905,-1.8887405940594062,0.09060380875747276,0.6422398099096814,3.606333164009476,0.10925269392880972,3.814009900990098,0.9900990099009901
26,1.6600000000000001,0.9630316831683166,0.9742702209328977,-1.884170297029702,0.09268661717450091,0.6502912422739494,3.7752401876499544,0.11241045320572628,3.80550495049505,0.9900990099009901
27,1.67,0.9610673267326731,0.9732724944278598,-1.8782297029702968,0.09629749147306095,0.658475940614029,3.978958286700801,0.11571404206928947,3.796310891089109,0.9900990099009901
28,1.68,0.9595227722772278,0.9722419188090291,-1.872166336633664,0.0994775670363553,0.6667983908774597,4.131848772762698,0.11917280076010044,3.785772277227723,0.9900990099009901
29,1.69,0.9595207920792076,0.9711774046805615,-1.872855445544554,0.09785780890546655,0.6752633094012898,4.1076248206319645,0.12279684043349286,3.7870792079207933,0.9900990099009901
30,1.7,0.9582950495049501,0.9700778116023373,-1.8682930693069302,0.09997458537513686,0.6838756589637424,4.22174164678207,0.12659712154455802,3.7794455445544552,0.9900990099009901
